dateTime,pc0_1,pc0_3,pc0_5,pc1_0,pc2_5,pc5_0,pc10_0,pm0_1,pm0_3,pm0_5,pm1_0,pm2_5,pm5_0,pm10_0
51:56.6,27087,8613,925,46,0,0,0,0.02478746,0.237599522,0.343447655,0.385685235,0.387853473,0.387853473,0.387853473
52:04.6,27400,8698,874,42,0,0,0,0.025074011,0.240004614,0.340023935,0.378706336,0.379725397,0.379725397,0.379725397
52:20.7,27656,8607,859,38,0,0,0,0.02530905,0.237970173,0.336300969,0.371332109,0.37235117,0.37235117,0.37235117
52:37.7,26522,7584,1566,58,0,0,0,0.024271039,0.21166411,0.390847325,0.444783628,0.444783628,0.444783628,0.444783628
52:45.7,26163,7433,1611,54,0,0,0,0.02394199,0.207598835,0.391980737,0.441812783,0.441812783,0.441812783,0.441812783
53:03.6,25807,7284,1656,57,0,0,0,0.02361702,0.20360741,0.39306289,0.445480108,0.445480108,0.445480108,0.445480108
53:11.6,25835,7297,1628,60,0,0,0,0.02364229,0.203956395,0.390248954,0.445865393,0.445865393,0.445865393,0.445865393
53:19.7,25956,7351,1556,64,0,0,0,0.02375336,0.20540072,0.383396417,0.442018062,0.442018062,0.442018062,0.442018062
53:35.7,26283,7483,1425,69,0,0,0,0.024052581,0.208948433,0.372018576,0.436069518,0.436069518,0.436069518,0.436069518
53:52.8,25030,6638,768,16,0,0,0,0.02290521,0.186921045,0.274846464,0.289970398,0.289970398,0.289970398,0.289970398
54:00.8,24686,6507,730,15,0,0,0,0.022591161,0.183386415,0.266896755,0.280760586,0.280760586,0.280760586,0.280760586
54:18.7,24348,6380,693,13,0,0,0,0.02228179,0.179923683,0.259228975,0.271960825,0.271960825,0.271960825,0.271960825
54:26.7,24014,6254,658,12,0,0,0,0.021975391,0.17652148,0.251815706,0.263481468,0.263481468,0.263481468,0.263481468
54:34.7,23682,6131,624,11,0,0,0,0.02167213,0.173170432,0.244659483,0.25538817,0.25538817,0.25538817,0.25538817
54:50.7,23317,5954,579,17,0,0,0,0.02133837,0.168459997,0.234726116,0.250464082,0.250464082,0.250464082,0.250464082
55:07.8,24918,7333,1085,63,0,0,0,0.02280331,0.203994319,0.328193426,0.386621088,0.389938444,0.389938444,0.389938444
55:15.8,24811,7246,1052,65,0,0,0,0.02270478,0.201751083,0.322145045,0.382253736,0.384931475,0.384931475,0.384931475
55:33.6,24519,7111,996,66,0,0,0,0.022437651,0.198142126,0.312165976,0.373049766,0.375217974,0.375217974,0.375217974
55:41.6,24284,7069,962,68,0,0,0,0.02222242,0.196883306,0.306997001,0.369884849,0.372053087,0.372053087,0.372053087
55:49.6,24093,7070,940,68,0,0,0,0.022047849,0.196743652,0.304300427,0.366800278,0.367819339,0.367819339,0.367819339
56:05.7,23718,7071,898,67,0,0,0,0.021704551,0.196421281,0.299239874,0.361448705,0.362467766,0.362467766,0.362467766
56:22.7,20846,5946,786,79,0,0,0,0.019076301,0.165996358,0.255981803,0.328952283,0.332269639,0.332269639,0.332269639
56:30.7,21530,6317,771,78,0,0,0,0.01970266,0.175797537,0.264078319,0.335917741,0.339235097,0.339235097,0.339235097
56:48.5,22070,6525,724,76,0,0,0,0.02019662,0.181421176,0.264337629,0.334173888,0.336342126,0.336342126,0.336342126
56:56.5,22591,6721,678,72,0,0,0,0.020673649,0.186734751,0.264347523,0.330886662,0.33305487,0.33305487,0.33305487
57:04.5,22688,6749,634,71,0,0,0,0.020762609,0.187522605,0.260134667,0.325155646,0.326174706,0.326174706,0.326174706
57:20.6,22629,6792,645,77,0,0,0,0.020708,0.188534245,0.262370199,0.333595604,0.334614664,0.334614664,0.334614664
57:37.6,18800,6229,1083,81,0,0,0,0.01720468,0.171114698,0.294994682,0.36990428,0.37092334,0.37092334,0.37092334
57:45.7,18706,6217,1050,76,0,0,0,0.017118519,0.170734495,0.290845692,0.360616982,0.361636043,0.361636043,0.361636043
58:03.5,18459,6086,996,70,0,0,0,0.01689231,0.167267635,0.281291515,0.345698446,0.346717507,0.346717507,0.346717507
58:11.5,18203,5948,944,64,0,0,0,0.016658431,0.163643941,0.271717727,0.331115395,0.332134426,0.332134426,0.332134426
58:19.5,17950,5814,895,59,0,0,0,0.01642656,0.160079807,0.262506545,0.317250878,0.317250878,0.317250878,0.317250878
58:35.6,17714,5661,944,58,0,0,0,0.016210809,0.156088546,0.264101833,0.317424089,0.319335729,0.319335729,0.319335729
